Date,Open,High,Low,Close,AdjClose,Volume,MMO,MMH,MML,MMC,MMV,PPR,PPC,PPO,Fut
01/04/2019,181.509995,182.259995,180.770004,182.039993,178.110306,30969500,183.1160004,183.8720002,182.4860016,183.3839998,27890740,0.0082,0.8523,0.4966,0.0038
02/04/2019,182.240005,182.910004,181.779999,182.729996,178.785385,22645200,183.6860016,184.476001,183.0580018,184.0020022,26236340,0.0062,0.8407,0.4071,0.0057
03/04/2019,183.759995,184.919998,183.210007,183.779999,179.812744,31633500,184.1380006,184.9160004,183.5200012,184.3520022,26833680,0.0093,0.3333,0.3216,-0.0004
04/04/2019,183.830002,184.5,182.649994,183.710007,179.744263,28530800,184.3300018,185.0380006,183.7820006,184.6900026,25419580,0.0101,0.5730,0.6378,0.0052
05/04/2019,184.240005,184.770004,184.020004,184.660004,180.673737,25674700,184.7200012,185.2940004,184.1900022,184.954001,23844240,0.0041,0.8533,0.2933,0.0025
08/04/2019,184.360001,185.279999,183.630005,185.130005,181.133606,22697500,185.0420014,185.529999,184.398001,185.1880006,23707120,0.0089,0.9091,0.4424,-0.0035
09/04/2019,184.5,185.110001,184.089996,184.479996,180.497589,25631900,185.3380004,185.6880006,184.595999,185.3339998,23382220,0.0055,0.3824,0.4020,0.0054
10/04/2019,184.720001,185.529999,184.520004,185.470001,181.466278,24563000,185.745999,186.0480012,184.9639984,185.7380006,23694980,0.0054,0.9406,0.1980,-0.0024
11/04/2019,185.779999,185.779999,184.690002,185.029999,181.035751,20654100,186.3519988,186.528,185.3799988,186.0739992,24712700,0.0059,0.3119,1.0000,0.0043
12/04/2019,185.850006,185.949997,185.059998,185.830002,181.818481,24989100,186.6880004,186.9299988,185.699997,186.5459992,26298060,0.0048,0.8652,0.8877,0.0002
15/04/2019,185.839996,186.070007,184.619995,185.860001,181.847839,21073000,186.8320006,187.3380004,185.973996,186.9639984,24887440,0.0078,0.8552,0.8414,0.0034
16/04/2019,186.539993,186.910004,185.929993,186.5,182.474045,27195700,187.3440002,188.2319976,186.675998,187.8539978,27405960,0.0053,0.5816,0.6224,0.0035
17/04/2019,187.75,187.929993,186.600006,187.149994,183.109985,29651600,188.1300018,188.9919982,187.4199982,188.4959992,26962240,0.0071,0.4135,0.8647,0.0013
18/04/2019,187.460007,187.789993,186.289993,187.389999,183.344818,28580900,188.8060028,189.6499998,187.9899964,189.1619996,26935420,0.0080,0.7333,0.7800,0.0028
22/04/2019,186.570007,187.990005,186.429993,187.919998,183.863373,17936000,189.35,190.2300016,188.449997,189.8139986,26491140,0.0083,0.9551,0.0898,0.0127
23/04/2019,188.399994,190.539993,188.130005,190.309998,186.201782,33665600,190.1659974,190.896002,189.2319976,190.4339998,27247180,0.0127,0.9046,0.1120,-0.0032
24/04/2019,190.470001,190.710007,189.649994,189.710007,185.614716,24977100,190.3819978,190.7580046,189.247998,190.2799988,26813120,0.0056,0.0566,0.7736,0.0041
25/04/2019,191.130005,191.220001,189.449997,190.479996,186.368103,29517500,190.4439974,190.8800046,189.0779998,190.123996,28777120,0.0093,0.5819,0.9492,0.0009
26/04/2019,190.179993,190.690002,188.589996,190.649994,186.534409,26359500,189.9919954,190.6060056,188.5619994,189.649997,31695640,0.0110,0.9809,0.7571,0.0019
29/04/2019,190.649994,191.320007,190.339996,191.020004,186.896439,21716200,189.8899964,190.7180052,188.7100006,189.7419984,32500980,0.0051,0.6939,0.3163,-0.0077
30/04/2019,189.479996,189.850006,188.210007,189.539993,185.448395,31495300,189.1699982,190.4940032,187.9940004,189.525998,35832100,0.0087,0.8110,0.7744,-0.0032
01/05/2019,190.779999,191.320007,188.800003,188.929993,184.851563,34797100,188.847998,190.2580016,187.253998,188.8660004,41296660,0.0133,0.0516,0.7857,-0.0043
02/05/2019,188.869995,189.850006,186.869995,188.110001,184.04924,44110100,187.8179992,189.4279998,186.4859988,188.2340026,41770300,0.0158,0.4161,0.6711,0.0159
03/05/2019,189.669998,191.25,189.330002,191.110001,186.984482,30386200,186.7839996,188.5399994,185.529999,187.5660032,44018620,0.0100,0.9271,0.1771,-0.0061
06/05/2019,187.050003,190.199997,186.759995,189.940002,185.839752,38371800,185.6720002,187.4679992,183.8699984,186.344003,49646660,0.0181,0.9244,0.0843,-0.0195
07/05/2019,187.869995,188.669998,184.509995,186.240005,182.21962,58818100,184.3199982,185.6799988,182.129999,184.072003,55409460,0.0223,0.4159,0.8077,-0.0025
08/05/2019,185.630005,187.169998,184.960007,185.770004,181.75975,37165300,182.65,184.2720002,181.0000002,182.9320006,52317960,0.0119,0.3665,0.3032,-0.0054
09/05/2019,183.699997,185.410004,182.089996,184.770004,180.781342,55351700,181.3940002,183.5480012,179.8699984,182.395999,53073800,0.0180,0.8072,0.4849,0.0012
10/05/2019,184.110001,185.889999,181.029999,185,181.006424,58526400,181.2880004,183.6800018,180.0419986,182.4279968,49859700,0.0263,0.8169,0.6337,-0.0347
13/05/2019,180.289993,181.259995,178.059998,178.580002,174.724991,67185800,181.0860014,183.6180024,180.4119998,182.0359954,47094880,0.0179,0.1625,0.6969,0.0110
14/05/2019,179.520004,181.630005,178.860001,180.539993,176.64267,43360600,181.1260038,183.602002,180.6679994,182.3099944,41379380,0.0153,0.6065,0.2383,0.0141
15/05/2019,179.350006,183.550003,179.309998,183.089996,179.137619,40944500,181.522003,183.7420014,181.0799988,182.5679962,39030020,0.0232,0.8915,0.0094,0.0100
16/05/2019,183.169998,186.070007,182.949997,184.929993,180.937866,39281200,181.8160032,183.4460022,181.3679992,182.1539978,35707640,0.0169,0.6346,0.0705,-0.0102
17/05/2019,183.100006,185.580002,182.880005,183.039993,179.088715,44702300,180.970004,182.0360016,180.2059996,180.8179992,36921660,0.0148,0.0593,0.0815,-0.0169
20/05/2019,180.490005,181.179993,179.339996,179.949997,176.06543,38608300,180.1920042,180.8900024,179.217999,179.8420014,33161860,0.0102,0.3315,0.6250,0.0104
21/05/2019,181.5,182.330002,180.919998,181.830002,177.904861,31613800,179.826004,180.5860046,178.844,179.350003,30392960,0.0078,0.6454,0.4113,-0.0045
22/05/2019,180.820007,182.070007,180.75,181.020004,177.11232,24332600,178.8040038,179.5200042,177.6779996,178.1900024,32505960,0.0073,0.2045,0.0530,-0.0153
23/05/2019,178.940002,179.020004,177.139999,178.25,174.402115,45351300,177.9400024,178.5600036,176.6820004,177.3400024,33710400,0.0105,0.5904,0.9574,-0.0005
24/05/2019,179.210007,179.850006,177.940002,178.160004,174.314056,25903300,177.0900024,177.8140014,176.0279996,176.4800018,33729380,0.0107,0.1152,0.6649,-0.0038
28/05/2019,178.660004,179.660004,177.470001,177.490005,173.658508,24763800,175.9440002,176.6339996,174.294,174.872,43717180,0.0123,0.0091,0.5434,-0.0082
29/05/2019,176.389999,177,175.089996,176.029999,172.230042,42178800,174.6179992,175.695999,173.0739988,174.3559998,48323980,0.0109,0.4921,0.6806,0.0042
30/05/2019,176.5,177.270004,175.770004,176.770004,172.954071,30354800,174.6559998,175.6179992,172.9320006,174.3920014,46770760,0.0085,0.6667,0.4867,-0.0160
31/05/2019,174.690002,175.289993,173.869995,173.949997,170.194916,45446200,174.6579988,175.771997,172.923999,174.5600008,46682440,0.0082,0.0563,0.5775,-0.0220
03/06/2019,173.479996,173.949997,169.270004,170.119995,166.447617,75842300,175.431998,177.0679992,173.8160004,175.978,46770860,0.0275,0.1816,0.8996,0.0282
04/06/2019,172.029999,174.970001,171.369995,174.910004,171.134232,47797800,177.1859988,179.248001,176.404001,178.5839998,39879460,0.0206,0.9833,0.1833,0.0074
05/06/2019,176.580002,176.610001,174.380005,176.210007,172.406174,34412700,179.7919986,181.3339996,178.6860018,180.2819978,38571960,0.0127,0.8206,0.9865,0.0079
06/06/2019,176.509995,178.039993,175.729996,177.610001,173.77594,29913200,181.055997,182.6679992,180.2100008,181.5079956,37241040,0.0130,0.8139,0.3377,0.0193
07/06/2019,178.559998,181.770004,178.330002,181.039993,177.131866,45888300,182.3739992,183.8339996,181.6120026,182.669995,36001560,0.0190,0.7878,0.0669,0.0117
10/06/2019,182.25,184.850006,182.210007,183.149994,179.19632,41385300,183.1579988,184.101999,182.3340026,182.9899962,31392720,0.0144,0.3561,0.0151,0.0014
11/06/2019,185.059998,185.399994,182.779999,183.399994,179.440933,41260300,183.3159974,183.9819978,182.4600004,183.1079984,27191560,0.0143,0.2366,0.8702,-0.0058
12/06/2019,182.899994,183.279999,182,182.339996,178.403824,27758100,183.4859986,184.4459992,182.9899992,183.7100004,28574960,0.0070,0.2656,0.7031,0.0059
13/06/2019,183.100006,183.869995,182.740005,183.419998,179.460526,23715800,184.2380006,185.2959992,183.7040006,184.6640014,29357920,0.0062,0.6018,0.3186,-0.0043
14/06/2019,182.479996,183.110001,181.940002,182.639999,178.697357,22844100,185.5619996,186.4739992,184.5880004,185.750003,32799160,0.0064,0.5983,0.4615,0.0060
17/06/2019,183.039993,184.25,182.839996,183.740005,179.773605,20379500,186.7920014,187.8059998,185.8339996,186.9360046,36226420,0.0077,0.6383,0.1418,0.0145
18/06/2019,185.910004,187.720001,185.429993,186.410004,182.385941,48177300,187.8900026,188.7,186.878,187.8200044,36025560,0.0123,0.4280,0.2096,0.0038
19/06/2019,186.660004,187.529999,185.570007,187.110001,183.070862,31672900,188.3140016,188.7839996,186.7220002,187.5240022,33174320,0.0105,0.7857,0.5561,0.0093
